	labels
0	1
1	6
2	1
3	6
4	1
5	6
6	0
7	0
8	1
9	6
10	1
11	0
12	0
13	6
14	6
15	0
16	6
17	0
18	1
19	6
20	6
21	1
22	1
23	1
24	1
25	0
26	0
27	0
28	1
29	0
30	1
31	1
32	6
33	0
34	6
35	0
36	1
37	0
38	0
39	1
40	6
41	0
42	1
43	6
44	1
45	0
46	6
47	0
48	6
49	1
50	0
51	6
52	1
53	0
54	6
55	6
56	0
57	6
58	1
59	6
60	1
61	1
62	6
63	1
64	0
65	6
66	6
67	0
68	6
69	1
70	1
71	0
72	1
73	0
74	1
75	1
76	6
77	0
78	6
79	1
80	0
81	0
82	0
83	1
84	6
85	1
86	0
87	6
88	6
89	6
90	1
91	1
92	6
93	6
94	6
95	0
96	0
97	1
98	0
99	6
100	1
101	0
102	0
103	6
104	0
105	0
106	0
107	1
108	6
109	0
110	6
111	1
112	6
113	6
114	0
115	1
116	6
117	0
118	6
119	0
120	6
121	1
122	1
123	1
124	0
125	1
126	6
127	6
128	1
129	1
130	6
131	1
132	1
133	0
134	0
135	0
136	6
137	6
138	1
139	1
140	1
141	0
142	6
143	0
144	6
145	6
146	1
147	1
148	0
149	1
150	6
151	6
152	0
153	0
154	0
155	6
156	6
157	6
158	6
159	0
160	1
161	1
162	6
163	6
164	1
165	0
166	1
167	0
168	1
169	0
170	6
171	6
172	1
173	0
174	0
175	1
176	1
177	0
178	0
179	0
180	6
181	0
182	0
183	6
184	1
185	6
186	1
187	6
188	1
189	1
190	1
191	1
192	1
193	0
194	6
195	0
196	0
197	1
198	1
199	0
200	0
201	0
202	6
203	1
204	1
205	0
206	6
207	1
208	6
209	0
210	0
211	0
212	0
213	6
214	0
215	1
216	6
217	1
218	0
219	1
220	1
221	0
222	1
223	0
224	1
225	6
226	0
227	6
228	0
229	1
230	1
231	0
232	1
233	0
234	6
235	0
236	6
237	0
238	0
239	0
240	0
241	1
242	6
243	1
244	1
245	1
246	6
247	0
248	0
249	1
250	1
251	6
252	0
253	6
254	0
255	0
256	1
257	0
258	1
259	0
260	6
261	0
262	6
263	0
264	1
265	1
266	1
267	1
268	1
269	1
270	0
271	1
272	1
273	1
274	6
275	6
276	1
277	0
278	1
279	1
280	0
281	0
282	0
283	6
284	0
285	0
286	6
287	1
288	1
289	0
290	0
291	6
292	6
293	1
294	0
295	6
296	6
297	6
298	1
299	1
300	0
301	6
302	1
303	1
304	0
305	6
306	0
307	6
308	0
309	0
310	6
311	6
312	1
313	0
314	1
315	6
316	1
317	0
318	0
319	0
320	6
321	6
322	1
323	0
324	0
325	1
326	1
327	0
328	0
329	0
330	0
331	0
332	1
333	1
334	0
335	1
336	0
337	1
338	0
339	1
340	6
341	0
342	0
343	1
344	6
345	6
346	0
347	1
348	6
349	0
350	0
351	6
352	6
353	1
354	6
355	1
356	1
357	1
358	1
359	0
360	1
361	1
362	0
363	0
364	6
365	6
366	0
367	1
368	1
369	6
370	0
371	0
372	6
373	1
374	0
375	0
376	0
377	1
378	1
379	0
380	1
381	1
382	1
383	0
384	0
385	1
386	1
387	1
388	6
389	6
390	6
391	6
392	1
393	1
394	1
395	1
396	1
397	6
398	6
399	0
400	6
401	0
402	6
403	0
404	1
405	1
406	0
407	6
408	1
409	0
410	1
411	1
412	6
413	1
414	1
415	1
416	6
417	1
418	6
419	1
420	0
421	6
422	6
423	0
424	0
425	6
426	1
427	0
428	1
429	1
430	6
431	6
432	1
433	1
434	6
435	6
436	6
437	0
438	1
439	1
440	6
441	1
442	1
443	6
444	0
445	0
446	6
447	0
448	6
449	1
450	6
451	6
452	1
453	0
454	0
455	6
456	6
457	6
458	6
459	0
460	0
461	1
462	1
463	6
464	0
465	0
466	0
467	0
468	0
469	1
470	0
471	0
472	0
473	6
474	6
475	0
476	6
477	1
478	0
479	1
480	1
481	0
482	1
483	1
484	1
485	1
486	0
487	0
488	0
489	1
490	1
491	0
492	6
493	1
494	6
495	6
496	6
497	1
498	6
499	1
500	0
501	0
502	6
