	labels
0	0.0
1	2.0
2	2.0
3	2.0
4	2.0
5	0.0
6	0.0
7	2.0
8	2.0
9	0.0
10	2.0
11	2.0
12	0.0
13	2.0
14	2.0
15	0.0
16	2.0
17	2.0
18	2.0
19	0.0
20	0.0
21	2.0
22	0.0
23	2.0
24	0.0
25	2.0
26	2.0
27	0.0
28	0.0
29	0.0
30	2.0
31	0.0
32	2.0
33	0.0
34	2.0
35	2.0
36	0.0
37	2.0
38	0.0
39	2.0
40	2.0
41	0.0
42	0.0
43	2.0
44	0.0
45	2.0
46	0.0
47	0.0
48	0.0
49	0.0
50	2.0
51	0.0
52	0.0
53	0.0
54	2.0
55	2.0
56	2.0
57	2.0
58	0.0
59	0.0
60	0.0
61	2.0
62	0.0
63	2.0
64	2.0
65	0.0
66	0.0
67	0.0
68	0.0
69	0.0
70	0.0
71	0.0
72	0.0
73	2.0
74	2.0
75	0.0
76	0.0
77	0.0
78	2.0
79	0.0
80	2.0
81	2.0
82	2.0
83	0.0
84	2.0
85	2.0
86	0.0
87	2.0
88	2.0
89	0.0
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	2.0
96	0.0
97	2.0
98	2.0
99	2.0
100	0.0
101	2.0
102	0.0
103	0.0
104	0.0
105	2.0
106	2.0
107	2.0
108	0.0
109	2.0
110	2.0
111	2.0
112	2.0
113	0.0
114	0.0
115	2.0
116	0.0
117	2.0
118	2.0
119	0.0
120	0.0
121	2.0
122	0.0
123	0.0
124	0.0
125	2.0
126	2.0
127	2.0
128	2.0
129	2.0
130	2.0
131	2.0
132	2.0
133	2.0
134	0.0
135	0.0
136	0.0
137	2.0
138	0.0
139	0.0
140	2.0
141	0.0
142	0.0
143	2.0
144	0.0
145	2.0
146	0.0
147	2.0
148	2.0
149	2.0
150	0.0
151	0.0
152	0.0
153	2.0
154	0.0
155	0.0
156	2.0
157	0.0
158	2.0
159	2.0
160	2.0
161	2.0
162	0.0
163	0.0
164	2.0
165	2.0
166	0.0
167	0.0
168	0.0
169	2.0
170	0.0
171	2.0
172	2.0
173	0.0
174	2.0
175	2.0
176	2.0
177	2.0
178	0.0
179	2.0
180	0.0
181	2.0
182	2.0
183	0.0
184	0.0
185	2.0
186	0.0
187	2.0
188	0.0
189	2.0
190	2.0
191	0.0
192	0.0
193	2.0
194	0.0
195	0.0
196	2.0
197	0.0
198	2.0
199	2.0
200	2.0
201	2.0
202	0.0
203	0.0
204	2.0
205	0.0
206	0.0
207	0.0
208	0.0
209	0.0
210	2.0
211	0.0
212	2.0
213	2.0
214	0.0
215	0.0
216	2.0
217	2.0
218	0.0
219	0.0
220	0.0
221	0.0
222	0.0
223	0.0
224	0.0
225	0.0
226	2.0
227	2.0
228	0.0
229	2.0
230	0.0
231	2.0
232	0.0
233	2.0
234	0.0
235	2.0
236	2.0
237	2.0
238	2.0
239	2.0
240	2.0
241	0.0
242	2.0
243	0.0
244	0.0
245	0.0
246	2.0
247	0.0
248	2.0
249	0.0
250	2.0
251	0.0
252	0.0
