	labels
0	2.0
1	7.0
2	7.0
3	7.0
4	7.0
5	2.0
6	2.0
7	7.0
8	7.0
9	2.0
10	7.0
11	7.0
12	2.0
13	7.0
14	7.0
15	2.0
16	7.0
17	7.0
18	7.0
19	2.0
20	2.0
21	7.0
22	2.0
23	7.0
24	2.0
25	7.0
26	7.0
27	2.0
28	2.0
29	2.0
30	7.0
31	2.0
32	7.0
33	2.0
34	7.0
35	7.0
36	2.0
37	7.0
38	2.0
39	7.0
40	7.0
41	2.0
42	2.0
43	7.0
44	2.0
45	7.0
46	2.0
47	2.0
48	2.0
49	2.0
50	7.0
51	2.0
52	2.0
53	2.0
54	7.0
55	7.0
56	7.0
57	7.0
58	2.0
59	2.0
60	2.0
61	7.0
62	2.0
63	7.0
64	7.0
65	2.0
66	2.0
67	2.0
68	2.0
69	2.0
70	2.0
71	2.0
72	2.0
73	7.0
74	7.0
75	2.0
76	2.0
77	2.0
78	7.0
79	2.0
80	7.0
81	7.0
82	7.0
83	2.0
84	7.0
85	7.0
86	2.0
87	7.0
88	7.0
89	2.0
90	2.0
91	2.0
92	2.0
93	2.0
94	2.0
95	7.0
96	2.0
97	7.0
98	7.0
99	7.0
100	2.0
101	7.0
102	2.0
103	2.0
104	2.0
105	7.0
106	7.0
107	7.0
108	2.0
109	7.0
110	7.0
111	7.0
112	7.0
113	2.0
114	2.0
115	7.0
116	2.0
117	7.0
118	7.0
119	2.0
120	2.0
121	7.0
122	2.0
123	2.0
124	2.0
125	7.0
126	7.0
127	7.0
128	7.0
129	7.0
130	7.0
131	7.0
132	7.0
133	7.0
134	2.0
135	2.0
136	2.0
137	7.0
138	2.0
139	2.0
140	7.0
141	2.0
142	2.0
143	7.0
144	2.0
145	7.0
146	2.0
147	7.0
148	7.0
149	7.0
150	2.0
151	2.0
152	2.0
153	7.0
154	2.0
155	2.0
156	7.0
157	2.0
158	7.0
159	7.0
160	7.0
161	7.0
162	2.0
163	2.0
164	7.0
165	7.0
166	2.0
167	2.0
168	2.0
169	7.0
170	2.0
171	7.0
172	7.0
173	2.0
174	7.0
175	7.0
176	7.0
177	7.0
178	2.0
179	7.0
180	2.0
181	7.0
182	7.0
183	2.0
184	2.0
185	7.0
186	2.0
187	7.0
188	2.0
189	7.0
190	7.0
191	2.0
192	2.0
193	7.0
194	2.0
195	2.0
196	7.0
197	2.0
198	7.0
199	7.0
200	7.0
201	7.0
202	2.0
203	2.0
204	7.0
205	2.0
206	2.0
207	2.0
208	2.0
209	2.0
210	7.0
211	2.0
212	7.0
213	7.0
214	2.0
215	2.0
216	7.0
217	7.0
218	2.0
219	2.0
220	2.0
221	2.0
222	2.0
223	2.0
224	2.0
225	2.0
226	7.0
227	7.0
228	2.0
229	7.0
230	2.0
231	7.0
232	2.0
233	7.0
234	2.0
235	7.0
236	7.0
237	7.0
238	7.0
239	7.0
240	7.0
241	2.0
242	7.0
243	2.0
244	2.0
245	2.0
246	7.0
247	2.0
248	7.0
249	2.0
250	7.0
251	2.0
252	2.0
253	7.0
254	2.0
255	7.0
256	2.0
257	2.0
258	2.0
259	2.0
260	7.0
261	7.0
262	7.0
263	2.0
264	2.0
265	7.0
266	2.0
267	2.0
268	2.0
269	7.0
270	7.0
271	7.0
272	2.0
273	2.0
274	7.0
275	2.0
276	2.0
277	7.0
278	2.0
279	2.0
280	7.0
281	7.0
282	7.0
283	7.0
284	7.0
285	2.0
286	7.0
287	7.0
288	7.0
289	2.0
290	2.0
291	2.0
292	7.0
293	2.0
294	2.0
295	2.0
296	2.0
297	2.0
298	2.0
299	7.0
300	2.0
301	2.0
302	7.0
303	7.0
304	7.0
305	2.0
306	7.0
307	7.0
308	2.0
309	2.0
310	7.0
311	2.0
312	7.0
313	2.0
314	2.0
315	7.0
316	2.0
317	7.0
318	2.0
319	7.0
320	7.0
321	2.0
322	2.0
323	2.0
324	2.0
325	2.0
326	2.0
327	7.0
328	7.0
329	7.0
330	2.0
331	7.0
332	2.0
333	2.0
334	7.0
335	7.0
336	7.0
337	7.0
338	7.0
339	2.0
340	7.0
341	2.0
342	7.0
343	7.0
344	2.0
345	2.0
346	2.0
347	2.0
348	2.0
349	7.0
350	2.0
351	7.0
352	7.0
353	2.0
354	2.0
355	7.0
356	7.0
357	7.0
358	7.0
359	7.0
360	7.0
361	2.0
362	7.0
363	7.0
364	7.0
365	7.0
366	7.0
367	7.0
368	7.0
369	2.0
370	2.0
371	2.0
372	7.0
373	2.0
374	2.0
375	7.0
376	2.0
377	7.0
378	2.0
379	7.0
380	7.0
381	7.0
382	7.0
383	2.0
384	2.0
385	2.0
386	7.0
387	2.0
388	2.0
389	7.0
390	7.0
391	2.0
392	2.0
393	7.0
394	7.0
395	7.0
396	2.0
397	2.0
398	2.0
399	2.0
400	2.0
401	7.0
402	2.0
403	7.0
404	2.0
405	7.0
406	2.0
407	2.0
408	2.0
409	7.0
410	7.0
411	7.0
412	2.0
413	2.0
414	7.0
415	2.0
416	2.0
417	2.0
418	7.0
419	2.0
420	7.0
421	7.0
422	7.0
423	7.0
424	2.0
425	7.0
426	7.0
427	2.0
428	7.0
429	2.0
430	7.0
431	7.0
432	7.0
433	2.0
434	2.0
435	7.0
436	7.0
437	7.0
438	7.0
439	7.0
440	2.0
441	7.0
442	7.0
443	7.0
444	2.0
445	2.0
446	7.0
447	7.0
448	7.0
449	2.0
450	2.0
451	7.0
452	7.0
453	2.0
454	7.0
455	7.0
456	2.0
457	7.0
458	2.0
459	2.0
460	7.0
461	7.0
462	2.0
463	7.0
464	2.0
465	7.0
466	2.0
467	7.0
468	7.0
469	7.0
470	2.0
471	2.0
472	7.0
473	7.0
474	7.0
475	7.0
476	7.0
477	7.0
478	2.0
479	2.0
480	7.0
481	2.0
482	2.0
483	2.0
484	2.0
485	2.0
486	2.0
487	2.0
488	2.0
489	2.0
490	2.0
491	2.0
492	2.0
493	2.0
494	2.0
495	2.0
496	7.0
497	7.0
498	7.0
499	7.0
