	labels
0	0.0
1	8.0
2	8.0
3	8.0
4	8.0
5	0.0
6	0.0
7	8.0
8	8.0
9	0.0
10	8.0
11	8.0
12	0.0
13	8.0
14	8.0
15	0.0
16	8.0
17	8.0
18	8.0
19	0.0
20	0.0
21	8.0
22	0.0
23	8.0
24	0.0
25	8.0
26	8.0
27	0.0
28	0.0
29	0.0
30	8.0
31	0.0
32	8.0
33	0.0
34	8.0
35	8.0
36	0.0
37	8.0
38	0.0
39	8.0
40	8.0
41	0.0
42	0.0
43	8.0
44	0.0
45	8.0
46	0.0
47	0.0
48	0.0
49	0.0
50	8.0
51	0.0
52	0.0
53	0.0
54	8.0
55	8.0
56	8.0
57	8.0
58	0.0
59	0.0
60	0.0
61	8.0
62	0.0
63	8.0
64	8.0
65	0.0
66	0.0
67	0.0
68	0.0
69	0.0
70	0.0
71	0.0
72	0.0
73	8.0
74	8.0
75	0.0
76	0.0
77	0.0
78	8.0
79	0.0
80	8.0
81	8.0
82	8.0
83	0.0
84	8.0
85	8.0
86	0.0
87	8.0
88	8.0
89	0.0
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	8.0
96	0.0
97	8.0
98	8.0
99	8.0
100	0.0
101	8.0
102	0.0
103	0.0
104	0.0
105	8.0
106	8.0
107	8.0
108	0.0
109	8.0
110	8.0
111	8.0
112	8.0
113	0.0
114	0.0
115	8.0
116	0.0
117	8.0
118	8.0
119	0.0
120	0.0
121	8.0
122	0.0
123	0.0
124	0.0
125	8.0
126	8.0
127	8.0
128	8.0
129	8.0
130	8.0
131	8.0
132	8.0
133	8.0
134	0.0
135	0.0
136	0.0
137	8.0
138	0.0
139	0.0
140	8.0
141	0.0
142	0.0
143	8.0
144	0.0
145	8.0
146	0.0
147	8.0
148	8.0
149	8.0
150	0.0
151	0.0
152	0.0
153	8.0
154	0.0
155	0.0
156	8.0
157	0.0
158	8.0
159	8.0
160	8.0
161	8.0
162	0.0
163	0.0
164	8.0
165	8.0
166	0.0
167	0.0
168	0.0
169	8.0
170	0.0
171	8.0
172	8.0
173	0.0
174	8.0
175	8.0
176	8.0
177	8.0
178	0.0
179	8.0
180	0.0
181	8.0
182	8.0
183	0.0
184	0.0
185	8.0
186	0.0
187	8.0
188	0.0
189	8.0
190	8.0
191	0.0
192	0.0
193	8.0
194	0.0
195	0.0
196	8.0
197	0.0
198	8.0
199	8.0
200	8.0
201	8.0
202	0.0
203	0.0
204	8.0
205	0.0
206	0.0
207	0.0
208	0.0
209	0.0
210	8.0
211	0.0
212	8.0
213	8.0
214	0.0
215	0.0
216	8.0
217	8.0
218	0.0
219	0.0
220	0.0
221	0.0
222	0.0
223	0.0
224	0.0
225	0.0
226	8.0
227	8.0
228	0.0
229	8.0
230	0.0
231	8.0
232	0.0
233	8.0
234	0.0
235	8.0
236	8.0
237	8.0
238	8.0
239	8.0
240	8.0
241	0.0
242	8.0
243	0.0
244	0.0
245	0.0
246	8.0
247	0.0
248	8.0
249	0.0
250	8.0
